;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
1041;1;2014;1331201;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1042;1;2014;1331501;1;23.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;ОСИПОВА             ;3;30.05.2016;174;5
1043;1;2014;1332001;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1044;1;2014;1332201;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1045;1;2014;1332501;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1046;1;2014;1333101;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ОСИПОВА             ;3;25.01.2016;174;5
1047;1;2014;1333501;1;23.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;ОСИПОВА             ;3;23.05.2016;174;5
1048;1;2014;1333601;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;21.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1049;1;2014;1334101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1050;1;2014;1334401;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1051;1;2014;1334701;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1052;1;2014;1335001;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1053;1;2014;1335101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1054;1;2014;1336001;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1055;1;2014;1336101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1056;1;2014;1336301;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1057;1;2014;1336401;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;21.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1058;1;2014;1336501;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1059;1;2014;1336601;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1060;1;2014;1336701;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1061;1;2014;1336901;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1062;1;2014;1339301;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1063;1;2014;1339601;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1064;1;2014;1339701;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
